,Name,char,seiyuu
0,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,Inosuke Hashibira , Yoshitsugu Matsuoka
1,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Nezuko Kamado , Akari Kitou
2,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Tanjirou Kamado , Natsuki Hanae
3,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Zenitsu Agatsuma , Hiro Shimono
4,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Daki , Miyuki Sawashiro
5,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Tengen Uzui , Katsuyuki Konishi
6,Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc, Akaza , Akira Ishida
12,Fruits Basket the Final Season,Akito Sohma , Maaya Sakamoto
13,Fruits Basket the Final Season, Kyo Sohma , Yuuma Uchida
14,Fruits Basket the Final Season, Shigure Sohma , Yuuichi Nakamura
15,Fruits Basket the Final Season, Tohru Honda , Manaka Iwami
16,Fruits Basket the Final Season, Yuki Sohma , Nobunaga Shimazaki
17,Fruits Basket the Final Season, Arisa Uotani , Atsumi Tanezaki
18,Fruits Basket the Final Season, Hatsuharu Sohma , Makoto Furukawa
19,Fruits Basket the Final Season, Isuzu Sohma , Aki Toyosaki
44,Fullmetal Alchemist: Brotherhood,Alphonse Elric , Rie Kugimiya
45,Fullmetal Alchemist: Brotherhood, Edward Elric , Romi Park
46,Fullmetal Alchemist: Brotherhood, Alex Louis Armstrong , Kenji Utsumi
47,Fullmetal Alchemist: Brotherhood, Barry The Chopper , Hideyuki Umezu
48,Fullmetal Alchemist: Brotherhood, Buccaneer , Ryuzaburo Otomo
49,Fullmetal Alchemist: Brotherhood, Darius , Masuo Amada
50,Fullmetal Alchemist: Brotherhood, Envy , Minami Takayama
51,Fullmetal Alchemist: Brotherhood, Father , Iemasa Kayumi
60,Attack on Titan 3rd Season: Part II,Armin Arlelt , Marina Inoue
61,Attack on Titan 3rd Season: Part II, Eren Jaeger , Yuuki Kaji
62,Attack on Titan 3rd Season: Part II, Mikasa Ackerman , Yui Ishikawa
64,Attack on Titan 3rd Season: Part II, Beast Titan , Takehito Koyasu
65,Attack on Titan 3rd Season: Part II, Bertholdt Hoover , Tomohisa Hashizume
66,Attack on Titan 3rd Season: Part II, Erwin Smith , Daisuke Ono
67,Attack on Titan 3rd Season: Part II, Hange Zoe , Romi Park
76,Jujutsu Kaisen,Megumi Fushiguro , Yuuma Uchida
77,Jujutsu Kaisen, Nobara Kugisaki , Asami Seto
78,Jujutsu Kaisen, Satoru Gojo , Yuuichi Nakamura
79,Jujutsu Kaisen, Yuji Itadori , Junya Enoki
80,Jujutsu Kaisen, Aoi Todo , Subaru Kimura
81,Jujutsu Kaisen, Hanami , Atsuko Tanaka
82,Jujutsu Kaisen, Junpei Yoshino , Yoshitaka Yamaya
83,Jujutsu Kaisen, Kento Nanami , Kenjirou Tsuda
92,Attack on Titan The Final Season: Part II,Armin Arlelt , Marina Inoue
93,Attack on Titan The Final Season: Part II, Eren Jaeger , Yuuki Kaji
94,Attack on Titan The Final Season: Part II, Mikasa Ackerman , Yui Ishikawa
95,Attack on Titan The Final Season: Part II, Yelena , Mitsuki Saiga
108,Attack on Titan The Final Season,Eren Jaeger , Yuuki Kaji
109,Attack on Titan The Final Season, Armin Arlelt , Marina Inoue
110,Attack on Titan The Final Season, Colt Grice , Masaya Matsukaze
111,Attack on Titan The Final Season, Falco Grice , Natsuki Hanae
112,Attack on Titan The Final Season, Gabi , Ayane Sakura
113,Attack on Titan The Final Season, Hange Zoe , Romi Park
114,Attack on Titan The Final Season, Jean Kirschtein , Kishou Taniyama
115,Attack on Titan The Final Season, Levi , Hiroshi Kamiya
124,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,Inosuke Hashibira , Yoshitsugu Matsuoka
125,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Kyoujurou Rengoku , Mariya Ise
126,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Nezuko Kamado , Akari Kitou
127,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Tanjirou Kamado , Natsuki Hanae
128,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Zenitsu Agatsuma , Hiro Shimono
129,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Akaza , Akira Ishida
130,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Enmu , Daisuke Hirakawa
131,Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train, Amane Ubuyashiki , Rina Satou
140,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,Shoyo Hinata , Ayumu Murase
141,Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Tobio Kageyama , Kaito Ishikawa
142,Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Asahi Azumane , Yoshimasa Hosoya
143,Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Daichi Sawamura , Satoshi Hino
144,Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Hitoka Yachi , Sumire Morohoshi
145,Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Ittetsu Takeda , Hiroshi Kamiya
146,Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Keishin Ukai , Hisao Egawa
147,Haikyuu!! Karasuno High School vs Shiratorizawa Academy, Kei Tsukishima , Kouki Uchiyama
156,your name.,Mitsuha Miyamizu , Mone Kamishiraishi
157,your name., Taki Tachibana , Ryunosuke Kamiki
158,your name., Katsuhiko Teshigawara , Ryou Narita
159,your name., Miki Okudera , Masami Nagasawa
160,your name., Sayaka Natori , Aoi Yuuki
161,your name., Tsukasa Fujii , Nobunaga Shimazaki
162,your name., Futaba Miyamizu , Sayaka Oohara
163,your name., Hitoha Miyamizu , Etsuko Ichihara
172,Haikyuu!! Second Season,Shoyo Hinata , Ayumu Murase
173,Haikyuu!! Second Season, Tobio Kageyama , Kaito Ishikawa
174,Haikyuu!! Second Season, Asahi Azumane , Yoshimasa Hosoya
175,Haikyuu!! Second Season, Daichi Sawamura , Satoshi Hino
176,Haikyuu!! Second Season, Hitoka Yachi , Sumire Morohoshi
177,Haikyuu!! Second Season, Ittetsu Takeda , Hiroshi Kamiya
178,Haikyuu!! Second Season, Keishin Ukai , Kazunari Tanaka
179,Haikyuu!! Second Season, Kei Tsukishima , Kouki Uchiyama
188,Demon Slayer: Kimetsu no Yaiba,Inosuke Hashibira , Yoshitsugu Matsuoka
189,Demon Slayer: Kimetsu no Yaiba, Nezuko Kamado , Akari Kitou
190,Demon Slayer: Kimetsu no Yaiba, Tanjirou Kamado , Satomi Satou
191,Demon Slayer: Kimetsu no Yaiba, Zenitsu Agatsuma , Hiro Shimono
192,Demon Slayer: Kimetsu no Yaiba, Rui , Kouki Uchiyama
193,Demon Slayer: Kimetsu no Yaiba, Sakonji Urokodaki , Houchuu Ootsuka
194,Demon Slayer: Kimetsu no Yaiba, Tamayo , Maaya Sakamoto
195,Demon Slayer: Kimetsu no Yaiba, Yushiro , Daiki Yamashita
204,Hunter x Hunter (2011),Gon Freecss , Megumi Han
205,Hunter x Hunter (2011), Killua Zoldyck , Mariya Ise
206,Hunter x Hunter (2011), Biscuit Krueger , Chisa Yokoyama
207,Hunter x Hunter (2011), Chrollo Lucilfer , Mamoru Miyano
208,Hunter x Hunter (2011), Hisoka Morow , Daisuke Namikawa
209,Hunter x Hunter (2011), Ikalgo , Kenyuu Horiuchi
210,Hunter x Hunter (2011), Illumi Zoldyck , Masaya Matsukaze
211,Hunter x Hunter (2011), Knuckle Bine , Wataru Takagi
220,A Silent Voice,Shouko Nishimiya , Saori Hayami
221,A Silent Voice, Shouya Ishida , Miyu Irino
222,A Silent Voice, Miki Kawai , Megumi Han
223,A Silent Voice, Miyoko Sahara , Yui Ishikawa
224,A Silent Voice, Naoka Ueno , Yuki Kaneko
225,A Silent Voice, Shouya'S Mother , Satsuki Yukino
226,A Silent Voice, Tomohiro Nagatsuka , Kensho Ono
227,A Silent Voice, Yuzuru Nishimiya , Aoi Yuuki
236,Violet Evergarden Movie,Claudia Hoggins , Takehito Koyasu
237,Violet Evergarden Movie, Gilbert Bougainvillea , Daisuke Namikawa
238,Violet Evergarden Movie, Violet Evergarden , Yui Ishikawa
239,Violet Evergarden Movie, Benedict Blue , Kouki Uchiyama
240,Violet Evergarden Movie, Daisy Magnolia , Sumire Morohoshi
241,Violet Evergarden Movie, Dietfried Bougainvillea , Hidenobu Kiuchi
242,Violet Evergarden Movie, Iris Cannary , Haruka Tomatsu
243,Violet Evergarden Movie, Ulysse , Kaori Mizuhashi
252,Haikyuu!! To the Top: Part II,Asahi Azumane , Yoshimasa Hosoya
253,Haikyuu!! To the Top: Part II, Daichi Sawamura , Satoshi Hino
254,Haikyuu!! To the Top: Part II, Kei Tsukishima , Kouki Uchiyama
255,Haikyuu!! To the Top: Part II, Koshi Sugawara , Miyu Irino
256,Haikyuu!! To the Top: Part II, Ryunosuke Tanaka , Yuu Hayashi
257,Haikyuu!! To the Top: Part II, Shoyo Hinata , Ayumu Murase
258,Haikyuu!! To the Top: Part II, Tadashi Yamaguchi , Soma Saito
259,Haikyuu!! To the Top: Part II, Tobio Kageyama , Kaito Ishikawa
272,That Time I Got Reincarnated as a Slime Season 2,Rimuru Tempest , Miho Okazaki
273,That Time I Got Reincarnated as a Slime Season 2, Benimaru , Makoto Furukawa
274,That Time I Got Reincarnated as a Slime Season 2, Gobta , Asuna Tomari
275,That Time I Got Reincarnated as a Slime Season 2, Grucius , Satoshi Hino
276,That Time I Got Reincarnated as a Slime Season 2, Hakurou ,  Houchuu Ootsuka
277,That Time I Got Reincarnated as a Slime Season 2, Myulan , Atsumi Tanezaki
278,That Time I Got Reincarnated as a Slime Season 2, Ranga , Chikahiro Kobayashi
279,That Time I Got Reincarnated as a Slime Season 2, Shion , M.A.O.
285,Given,Mafuyu Sato , Shougo Yano
286,Given, Ritsuka Uenoyama , Yuuma Uchida
287,Given, Akihiko Kaji , Takuya Eguchi
288,Given, Haruki Nakayama , Masatomo Nakazawa
289,Given, Hiiragi Kashima , Fumiya Imai
290,Given, Ryou Ueki , Hirosato Amano
291,Given, Shogo Itaya , Kengo Takanashi
292,Given, Yatake Koji , Ryouta Takeuchi
298,Code Geass: Lelouch of the Rebellion R2,C.C. , Yukana
299,Code Geass: Lelouch of the Rebellion R2, Kallen Stadtfeld , Ami Koshimizu
300,Code Geass: Lelouch of the Rebellion R2, Lelouch Lamperouge , Jun Fukuyama
301,Code Geass: Lelouch of the Rebellion R2, Suzaku Kururugi , Takahiro Sakurai
302,Code Geass: Lelouch of the Rebellion R2, Anya Alstreim , Yuuko Gotou
303,Code Geass: Lelouch of the Rebellion R2, Cecile Croomy , Kikuko Inoue
304,Code Geass: Lelouch of the Rebellion R2, Charles Zi Britannia , Norio Wakamoto
305,Code Geass: Lelouch of the Rebellion R2, Cornelia Li Britannia , Junko Minagawa
314,Mo Dao Zu Shi 2,Lan Wangji , Bian Jiang
315,Mo Dao Zu Shi 2, Wei Wuxian , Zhang Jie
316,Mo Dao Zu Shi 2, Jiang Cheng , Guo Haoran
317,Mo Dao Zu Shi 2, Jin Guangyao , Yang Tianxiang
318,Mo Dao Zu Shi 2, Jin Ling , Su Shangqing
319,Mo Dao Zu Shi 2, Lan Xichen , Ji Xian
330,Gintama: The Very Final,Gintoki Sakata , Tomokazu Sugita
331,Gintama: The Very Final, Kagura , Rie Kugimiya
332,Gintama: The Very Final, Shinpachi Shimura , Daisuke Sakaguchi
334,Gintama: The Very Final, Hideaki Sorachi , Hideaki Sorachi
345,Link Click,Cheng Xiaoshi , Toshiyuki Toyonaga
346,Link Click, Lu Guang , Takahiro Sakurai
347,Link Click, Qiao Ling , Aoi Koga
354,Mob Psycho 100 II,Arataka Reigen , Takahiro Sakurai
355,Mob Psycho 100 II, Shigeo Kageyama , Setsuo Ito
356,Mob Psycho 100 II, Ekubo , Akio Ootsuka
357,Mob Psycho 100 II, Ritsu Kageyama , Miyu Irino
358,Mob Psycho 100 II, Shou Suzuki , Sachi Kokuryu
359,Mob Psycho 100 II, Teruki Hanazawa , Yoshitsugu Matsuoka
360,Mob Psycho 100 II, Toichiro Suzuki , Kazuhiko Inoue
361,Mob Psycho 100 II, Banshoumaru Shinra , Taiten Kusunoki
370,Haikyuu!! To the Top,Asahi Azumane , Yoshimasa Hosoya
371,Haikyuu!! To the Top, Daichi Sawamura , Satoshi Hino
372,Haikyuu!! To the Top, Kei Tsukishima , Kouki Uchiyama
373,Haikyuu!! To the Top, Koshi Sugawara , Miyu Irino
374,Haikyuu!! To the Top, Ryunosuke Tanaka , Yuu Hayashi
375,Haikyuu!! To the Top, Shoyo Hinata , Ayumu Murase
376,Haikyuu!! To the Top, Tadashi Yamaguchi , Soma Saito
377,Haikyuu!! To the Top, Tobio Kageyama , Kaito Ishikawa
386,Fruits Basket 2nd Season,Kyo Sohma , Yuuma Uchida
387,Fruits Basket 2nd Season, Shigure Sohma , Yuuichi Nakamura
388,Fruits Basket 2nd Season, Tohru Honda , Manaka Iwami
389,Fruits Basket 2nd Season, Yuki Sohma , Nobunaga Shimazaki
390,Fruits Basket 2nd Season, Akito Sohma , Maaya Sakamoto
391,Fruits Basket 2nd Season, Arisa Uotani , Atsumi Tanezaki
392,Fruits Basket 2nd Season, Ayame Sohma , Takahiro Sakurai
393,Fruits Basket 2nd Season, Hatori Sohma , Kazuyuki Okitsu
402,The Promised Neverland,Emma , Sumire Morohoshi
403,The Promised Neverland, Norman , Maaya Uchida
404,The Promised Neverland, Ray , Mariya Ise
405,The Promised Neverland, Don , Shinei Ueki
406,The Promised Neverland, Gilda , Lynn
407,The Promised Neverland, Isabella , Yuko Kaida
408,The Promised Neverland, Krone , Nao Fujita
409,The Promised Neverland, Alicia , Yoshino Aoyama
418,Spirited Away,Chihiro Ogino , Rumi Hiiragi
419,Spirited Away, Haku , Miyu Irino
420,Spirited Away, Boh , Ryunosuke Kamiki
421,Spirited Away, Kamajii , Bunta Sugawara
422,Spirited Away, Kaonashi , Akio Nakamura
423,Spirited Away, Kashira , Akio Nakamura
424,Spirited Away, Rin , Yumi Tamai
425,Spirited Away, Yubaba , Mari Natsuki
434,That Time I Got Reincarnated as a Slime Season 2: Part II,Rimuru Tempest , Miho Okazaki
435,That Time I Got Reincarnated as a Slime Season 2: Part II, Benimaru , Makoto Furukawa
436,That Time I Got Reincarnated as a Slime Season 2: Part II, Clayman , Takehito Koyasu
437,That Time I Got Reincarnated as a Slime Season 2: Part II, Milim Nava , Rina Hidaka
438,That Time I Got Reincarnated as a Slime Season 2: Part II, Ranga , Chikahiro Kobayashi
439,That Time I Got Reincarnated as a Slime Season 2: Part II, Shion , M.A.O.
440,That Time I Got Reincarnated as a Slime Season 2: Part II, Veldora Tempest , Tomoaki Maeno
441,That Time I Got Reincarnated as a Slime Season 2: Part II, Adalman , Tomokazu Sugita
444,Heaven Official's Blessing,Hua Cheng , Zhengyang Ma
445,Heaven Official's Blessing, Xie Lian , Guangtao Jiang
446,Heaven Official's Blessing, Ban Yue , Tao Dian
447,Heaven Official's Blessing, Fu Yao , Liangwei Hu
448,Heaven Official's Blessing, Ling Wen , Ying Huang
449,Heaven Official's Blessing, Nan Feng , Sen Wen
455,Ranking of Kings,Bojji , Minami Hinata
456,Ranking of Kings, Kage , Ayumu Murase
457,Ranking of Kings, Apeas , Hiroki Yasumoto
458,Ranking of Kings, Bebin , Youji Ueda
459,Ranking of Kings, Daida , Yuuki Kaji
460,Ranking of Kings, Despa , Takahiro Sakurai
461,Ranking of Kings, Domas , Takuya Eguchi
462,Ranking of Kings, Dorshe , Hinata Tadokoro
471,Mushoku Tensei: Jobless Reincarnation - Part II,Eris Boreas Greyrat , Ai Kakuma
472,Mushoku Tensei: Jobless Reincarnation - Part II, Rudeus Greyrat , Tomokazu Sugita
473,Mushoku Tensei: Jobless Reincarnation - Part II, Ruijerd Superdia , Daisuke Namikawa
474,Mushoku Tensei: Jobless Reincarnation - Part II, Paul Greyrat , Toshiyuki Morikawa
475,Mushoku Tensei: Jobless Reincarnation - Part II, Roxy Migurdia , Konomi Kohara
476,Mushoku Tensei: Jobless Reincarnation - Part II, Aisha Greyrat , Yuuki Takada
477,Mushoku Tensei: Jobless Reincarnation - Part II, Alphonse , Nobuo Tobita
486,Gintama.: Shirogane no Tamashii-hen 2,Gintoki Sakata , Tomokazu Sugita
487,Gintama.: Shirogane no Tamashii-hen 2, Kagura , Rie Kugimiya
488,Gintama.: Shirogane no Tamashii-hen 2, Shinpachi Shimura , Daisuke Sakaguchi
489,Gintama.: Shirogane no Tamashii-hen 2, Enshou , Tomoaki Maeno
490,Gintama.: Shirogane no Tamashii-hen 2, Kamui , Satoshi Hino
491,Gintama.: Shirogane no Tamashii-hen 2, Kotarou Katsura , Akira Ishida
492,Gintama.: Shirogane no Tamashii-hen 2, Shinsuke Takasugi , Takehito Koyasu
493,Gintama.: Shirogane no Tamashii-hen 2, Sougo Okita , Kenichi Suzumura
499,Clannad After Story,Nagisa Furukawa , Mai Nakahara
500,Clannad After Story, Tomoya Okazaki , Yuuichi Nakamura
501,Clannad After Story, Akio Furukawa , Ryotaro Okiayu
502,Clannad After Story, Girl , Tomoko Kawakami
503,Clannad After Story, Kotomi Ichinose , Mamiko Noto
504,Clannad After Story, Kyou Fujibayashi , Ryou Hirohashi
505,Clannad After Story, Mei Sunohara , Yukari Tamura
506,Clannad After Story, Misae Sagara , Satsuki Yukino
515,Mo Dao Zu Shi,Jiang Cheng , Hikaru Midorikawa
516,Mo Dao Zu Shi, Lan Wangji , Shinnosuke Tachibana
517,Mo Dao Zu Shi, Wei Wuxian , Ryouhei Kimura
518,Mo Dao Zu Shi, Jiang Fengmian , Kenji Hamada
519,Mo Dao Zu Shi, Lan Qiren , Mitsuhiro Sakamaki
520,Mo Dao Zu Shi, Nie Huaisang , Natsuki Hanae
521,Mo Dao Zu Shi, Wen Chao , Hiroyuki Yoshino
522,Mo Dao Zu Shi, Yu Ziyuan , Takako Honda
531,Gintama': Enchousen,Gintoki Sakata , Tomokazu Sugita
532,Gintama': Enchousen, Kagura , Rie Kugimiya
533,Gintama': Enchousen, Shinpachi Shimura , Daisuke Sakaguchi
534,Gintama': Enchousen, Catherine , Yuu Sugimoto
535,Gintama': Enchousen, Elizabeth , Shinji Takamatsu
536,Gintama': Enchousen, Isao Kondo , Susumu Chiba
537,Gintama': Enchousen, Kotarou Katsura , Akira Ishida
538,Gintama': Enchousen, Kyuubei Yagyuu , Fumiko Orikasa
547,Banana Fish,Ash Lynx , Yuuma Uchida
548,Banana Fish, Eiji Okumura , Kenji Nojima
549,Banana Fish, Blanca , Toshiyuki Morikawa
550,Banana Fish, Dino Francis Golzine , Unshou Ishizuka
551,Banana Fish, Frederick Arthur , Yoshimasa Hosoya
552,Banana Fish, Lee Yut Lung , Jun Fukuyama
553,Banana Fish, Max Lobo , Hiroaki Hirata
554,Banana Fish, Shorter Wong , Makoto Furukawa
574,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,Gintoki Sakata , Tomokazu Sugita
575,Gintama Kanketsu-hen: Yorozuya yo Eien Nare, Kagura , Rie Kugimiya
576,Gintama Kanketsu-hen: Yorozuya yo Eien Nare, Shinpachi Shimura , Daisuke Sakaguchi
577,Gintama Kanketsu-hen: Yorozuya yo Eien Nare, Isao Kondo , Susumu Chiba
578,Gintama Kanketsu-hen: Yorozuya yo Eien Nare, Kotarou Katsura , Akira Ishida
579,Gintama Kanketsu-hen: Yorozuya yo Eien Nare, Sa-Chan , Yuu Kobayashi
580,Gintama Kanketsu-hen: Yorozuya yo Eien Nare, Sadaharu , Mikako Takahashi
581,Gintama Kanketsu-hen: Yorozuya yo Eien Nare, Sougo Okita , Kenichi Suzumura
590,Gintama.,Gintoki Sakata , Tomokazu Sugita
591,Gintama., Kagura , Rie Kugimiya
592,Gintama., Kamui , Satoshi Hino
593,Gintama., Shinpachi Shimura , Daisuke Sakaguchi
594,Gintama., Umibouzu , Shou Hayami
595,Gintama., Kotarou Katsura , Akira Ishida
596,Gintama., Kouka , Rie Kugimiya
597,Gintama., Oboro , Kazuhiko Inoue
604,Gintama.: Shirogane no Tamashii-hen,Gintoki Sakata , Tomokazu Sugita
605,Gintama.: Shirogane no Tamashii-hen, Kagura , Rie Kugimiya
606,Gintama.: Shirogane no Tamashii-hen, Shinpachi Shimura , Daisuke Sakaguchi
607,Gintama.: Shirogane no Tamashii-hen, Enshou , Tomoaki Maeno
608,Gintama.: Shirogane no Tamashii-hen, Sougo Okita , Kenichi Suzumura
609,Gintama.: Shirogane no Tamashii-hen, Toshiro Hijikata , Kazuya Nakai
610,Gintama.: Shirogane no Tamashii-hen, Utsuro , Kouichi Yamadera
611,Gintama.: Shirogane no Tamashii-hen, Azumi Agonoske , Keikou Sakai
617,Attack on Titan 3rd Season,Armin Arlelt , Marina Inoue
618,Attack on Titan 3rd Season, Christa Lenz , Shiori Mikami
619,Attack on Titan 3rd Season, Eren Jaeger , Yuuki Kaji
620,Attack on Titan 3rd Season, Levi , Hiroshi Kamiya
621,Attack on Titan 3rd Season, Mikasa Ackerman , Yui Ishikawa
622,Attack on Titan 3rd Season, Conny Springer , Hiro Shimono
623,Attack on Titan 3rd Season, Erwin Smith , Daisuke Ono
624,Attack on Titan 3rd Season, Hange Zoe , Romi Park
633,Steins;Gate,Itaru Hashida , Tomokazu Seki
634,Steins;Gate, Kurisu Makise , Asami Imai
635,Steins;Gate, Mayuri Shiina , Kana Hanazawa
636,Steins;Gate, Rintaro Okabe , Mamoru Miyano
637,Steins;Gate, Faris Nyannyan , Haruko Momoi
638,Steins;Gate, Moeka Kiryuu , Saori Gotou
639,Steins;Gate, Ruka Urushibara , Yuu Kobayashi
640,Steins;Gate, Suzuha Amane , Yukari Tamura
649,Haikyuu!!,Shoyo Hinata , Ayumu Murase
650,Haikyuu!!, Tobio Kageyama , Kaito Ishikawa
651,Haikyuu!!, Asahi Azumane , Yoshimasa Hosoya
652,Haikyuu!!, Daichi Sawamura , Satoshi Hino
653,Haikyuu!!, Ittetsu Takeda , Hiroshi Kamiya
654,Haikyuu!!, Keishin Ukai , Kazunari Tanaka
655,Haikyuu!!, Kei Tsukishima , Kouki Uchiyama
656,Haikyuu!!, Koshi Sugawara , Miyu Irino
665,Gintama',Gintoki Sakata , Tomokazu Sugita
666,Gintama', Kagura , Rie Kugimiya
667,Gintama', Shinpachi Shimura , Daisuke Sakaguchi
668,Gintama', Ayumu Tojo , Kouji Yusa
669,Gintama', Catherine , Yuu Sugimoto
670,Gintama', Elizabeth , Tooru Furuya
671,Gintama', Isao Kondo , Susumu Chiba
672,Gintama', Kotarou Katsura , Akira Ishida
681,One-Punch Man,Genos , Kaito Ishikawa
682,One-Punch Man, Saitama , Makoto Furukawa
683,One-Punch Man, Bang , Kazuhiro Yamaji
684,One-Punch Man, Lord Boros , Toshiyuki Morikawa
685,One-Punch Man, Melzargard , Kouki Uchiyama
686,One-Punch Man, Mumen Rider , Yuuichi Nakamura
687,One-Punch Man, Pri-Pri-Prisoner , Masaya Onosaka
688,One-Punch Man, Seaking , Rikiya Koyama
697,Demon Slayer: Kimetsu no Yaiba - Mugen Train,Inosuke Hashibira , Yoshitsugu Matsuoka
698,Demon Slayer: Kimetsu no Yaiba - Mugen Train, Kyoujurou Rengoku , Mariya Ise
699,Demon Slayer: Kimetsu no Yaiba - Mugen Train, Nezuko Kamado , Akari Kitou
700,Demon Slayer: Kimetsu no Yaiba - Mugen Train, Tanjirou Kamado , Natsuki Hanae
701,Demon Slayer: Kimetsu no Yaiba - Mugen Train, Zenitsu Agatsuma , Hiro Shimono
702,Demon Slayer: Kimetsu no Yaiba - Mugen Train, Akaza , Akira Ishida
703,Demon Slayer: Kimetsu no Yaiba - Mugen Train, Enmu , Daisuke Hirakawa
705,Gintama°,Gintoki Sakata , Haruka Tomatsu
706,Gintama°, Kagura , Rie Kugimiya
707,Gintama°, Shinpachi Shimura , Daisuke Sakaguchi
709,Gintama°, Isao Kondo , Susumu Chiba
710,Gintama°, Kamui , Satoshi Hino
711,Gintama°, Kotarou Katsura , Yuki Kaida
712,Gintama°, Kyuubei Yagyuu , Fumiko Orikasa
721,Howl's Moving Castle,Howl , Takuya Kimura
722,Howl's Moving Castle, Sophie Hatter , Chieko Baisho
723,Howl's Moving Castle, Calcifer , Tatsuya Gashuin
724,Howl's Moving Castle, Heen , Daijiro Harada
725,Howl's Moving Castle, Kakashi No Kabu , Yo Oizumi
726,Howl's Moving Castle, Madam Suliman , Haruko Katou
727,Howl's Moving Castle, Markl , Ryunosuke Kamiki
728,Howl's Moving Castle, Witch Of The Waste , Akihiro Miwa
737,Natsume's Book of Friends Season 6,Nyanko-Sensei , Kazuhiko Inoue
738,Natsume's Book of Friends Season 6, Takashi Natsume , Hiroshi Kamiya
739,Natsume's Book of Friends Season 6, Kaname Tanuma , Kazuma Horie
740,Natsume's Book of Friends Season 6, Tooru Taki , Rina Satou
741,Natsume's Book of Friends Season 6, Atsushi Kitamoto , Hisayoshi Suganuma
742,Natsume's Book of Friends Season 6, Days Eater , Takashi Matsuyama
743,Natsume's Book of Friends Season 6, Hinoe , Akemi Okamura
744,Natsume's Book of Friends Season 6, Katsumi Shibata , Yoshimasa Hosoya
753,JoJo's Bizarre Adventure: Golden Wind,Bruno Bucciarati , Yuuichi Nakamura
754,JoJo's Bizarre Adventure: Golden Wind, Giorno Giovanna , Kensho Ono
755,JoJo's Bizarre Adventure: Golden Wind, Guido Mista , Kohsuke Toriumi
756,JoJo's Bizarre Adventure: Golden Wind, Leone Abbacchio , Junichi Suwabe
757,JoJo's Bizarre Adventure: Golden Wind, Narancia Ghirga , Daiki Yamashita
758,JoJo's Bizarre Adventure: Golden Wind, Pannacotta Fugo , Junya Enoki
759,JoJo's Bizarre Adventure: Golden Wind, Trish Una , Sayaka Senbongi
760,JoJo's Bizarre Adventure: Golden Wind, Anita , Riho Sugiyama
769,JoJo's Bizarre Adventure: Stone Ocean,Jolyne Kujo , Fairouz Ai
770,JoJo's Bizarre Adventure: Stone Ocean, Emporio Alnino , Atsumi Tanezaki
771,JoJo's Bizarre Adventure: Stone Ocean, Enrico Pucci , Tomokazu Seki
772,JoJo's Bizarre Adventure: Stone Ocean, Ermes Costello , Mutsumi Tamura
773,JoJo's Bizarre Adventure: Stone Ocean, Foo Fighters , Mariya Ise
774,JoJo's Bizarre Adventure: Stone Ocean, Black-Haired Prisoner , Yumi Hino
775,JoJo's Bizarre Adventure: Stone Ocean, Blonde Guard , Chado Horii
776,JoJo's Bizarre Adventure: Stone Ocean, Blonde Prisoner , Asuna Tomari
784,Vinland Saga,Askeladd , Naoya Uchida
785,Vinland Saga, Canute , Kensho Ono
786,Vinland Saga, Thorfinn Thordarson , Shizuka Ishigami
787,Vinland Saga, Bjorn , Hiroki Yasumoto
788,Vinland Saga, Floki , Atsushi Ono
789,Vinland Saga, Leif Ericson , Youji Ueda
790,Vinland Saga, Ragnar , Jin Urayama
791,Vinland Saga, Thorkell , Akio Ootsuka
800,Natsume's Book of Friends Season 4,Nyanko-Sensei , Kazuhiko Inoue
801,Natsume's Book of Friends Season 4, Takashi Natsume , Hiroshi Kamiya
802,Natsume's Book of Friends Season 4, Atsushi Kitamoto , Hisayoshi Suganuma
803,Natsume's Book of Friends Season 4, Jun Sasada , Miyuki Sawashiro
804,Natsume's Book of Friends Season 4, Kaname Tanuma , Kazuma Horie
805,Natsume's Book of Friends Season 4, Nanase , Yoriko Nagata
806,Natsume's Book of Friends Season 4, Satoru Nishimura , Ryouhei Kimura
807,Natsume's Book of Friends Season 4, Seiji Matoba , Junichi Suwabe
